record_id,source_file,section_title,chunk_id,question,answer,evidence,verification_label,verification_rationale,model,verifier_model
chunk-022-000-qa-00,aapl-20250927.htm,Item 16. Form 10-K Summary,chunk-022-000,What does the filing state in item 16. Form 10-K Summary?,"Form 10-K Summary 57 This Annual Report on Form 10-K (Form 10-K) contains forward-looking statements, within the meaning of the Private Securities Litigation Reform Act of 1995, that involve risks and uncertainties.","Form 10-K Summary 57 This Annual Report on Form 10-K (Form 10-K) contains forward-looking statements, within the meaning of the Private Securities Litigation Reform Act of 1995, that involve risks and uncertainties.",supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-022-000-qa-01,aapl-20250927.htm,Item 16. Form 10-K Summary,chunk-022-000,What does the filing state in item 16. Form 10-K Summary?,"Many of the forward-looking statements are located in Part I, Item 1 of this Form 10-K under the heading Business and Part II, Item 7 of this Form 10-K under the heading Managements Discussion and Analysis of Financial Condition and Results of Operations.","Many of the forward-looking statements are located in Part I, Item 1 of this Form 10-K under the heading Business and Part II, Item 7 of this Form 10-K under the heading Managements Discussion and Analysis of Financial Condition and Results of Operations.",supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-022-000-qa-02,aapl-20250927.htm,Item 16. Form 10-K Summary,chunk-022-000,What does the filing state in item 16. Form 10-K Summary?,Forward-looking statements provide current expectations of future events based on certain assumptions and include any statement that does not directly relate to any historical or current fact.,Forward-looking statements provide current expectations of future events based on certain assumptions and include any statement that does not directly relate to any historical or current fact.,supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-023-000-qa-00,aapl-20250927.htm,Item 1. Business > Products,chunk-023-000,What does the filing state in item 1. Business > Products?,Products iPhone iPhone is the Companys line of smartphones based on its iOS operating system.,Products iPhone iPhone is the Companys line of smartphones based on its iOS operating system.,supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-023-000-qa-01,aapl-20250927.htm,Item 1. Business > Products,chunk-023-000,What does the filing state in item 1. Business > Products?,"The iPhone line includes iPhone 17 Pro, iPhone Air, iPhone 17, iPhone 16 and iPhone 16e.","The iPhone line includes iPhone 17 Pro, iPhone Air, iPhone 17, iPhone 16 and iPhone 16e.",supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-023-000-qa-02,aapl-20250927.htm,Item 1. Business > Products,chunk-023-000,What does the filing state in item 1. Business > Products?,Mac Mac is the Companys line of personal computers based on its macOS operating system.,Mac Mac is the Companys line of personal computers based on its macOS operating system.,supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-024-000-qa-00,aapl-20250927.htm,Item 1. Business > Services,chunk-024-000,What does the filing state in item 1. Business > Services?,Services The Companys cloud services store and keep customers content up-to-date and available across multiple Apple devices and Windows personal computers.,Services The Companys cloud services store and keep customers content up-to-date and available across multiple Apple devices and Windows personal computers.,supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-024-000-qa-01,aapl-20250927.htm,Item 1. Business > Services,chunk-024-000,What does the filing state in item 1. Business > Services?,"Digital Content The Company operates various platforms, including the App Store , that allow customers to discover and download applications and digital content, such as books, music, video, games and podcasts.","Digital Content The Company operates various platforms, including the App Store , that allow customers to discover and download applications and digital content, such as books, music, video, games and podcasts.",supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-025-000-qa-00,aapl-20250927.htm,Item 1. Business > Segments,chunk-025-000,What does the filing state in item 1. Business > Segments?,Segments The Company manages its business primarily on a geographic basis.,Segments The Company manages its business primarily on a geographic basis.,supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
chunk-025-000-qa-01,aapl-20250927.htm,Item 1. Business > Segments,chunk-025-000,What does the filing state in item 1. Business > Segments?,"The Companys reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.","The Companys reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.",supported,The evidence appears verbatim in the chunk.,dry-run,dry-run
